0-0|1-0|2-0|3-0|4-0|5-0|6-0|7-0|
0-0|1-0|2-0|3-0|4-0|5-0|6-0|7-0|
0-0|1-0|2-0|3-0|4-0|5-0|6-0|7-0|
0-10|1-10|2-10|3-10|4-10|5-10|6-10|7-10|
0-20|1-20|2-20|3-20|4-20|5-20|6-20|7-20|
0-30|1-30|2-30|3-30|4-30|5-30|6-30|7-30|
0-40|1-40|2-40|3-40|4-40|5-40|6-40|7-40|
0-50|1-50|2-50|3-50|4-50|5-50|6-50|7-50|
0-60|1-60|2-60|3-60|4-60|5-60|6-60|7-60|
0-70|1-70|2-70|3-70|4-70|5-70|6-70|7-70|
0-80|1-80|2-80|3-80|4-80|5-80|6-80|7-80|
0-90|1-90|2-90|3-90|4-90|5-90|6-90|7-90|
0-100|1-100|2-100|3-100|4-100|5-100|6-100|7-100|
0-110|1-110|2-110|3-110|4-110|5-110|6-110|7-110|
0-120|1-120|2-120|3-120|4-120|5-120|6-120|7-120|
0-130|1-130|2-130|3-130|4-130|5-130|6-130|7-130|
0-140|1-140|2-140|3-140|4-140|5-140|6-140|7-140|
0-150|1-150|2-150|3-150|4-150|5-150|6-150|7-150|
0-160|1-160|2-160|3-160|4-160|5-160|6-160|7-160|
0-170|1-170|2-170|3-170|4-170|5-170|6-170|7-170|
0-180|1-180|2-180|3-180|4-180|5-180|6-180|7-180|
0-190|1-190|2-190|3-190|4-190|5-190|6-190|7-190|
0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-200|
0-210|1-210|2-210|3-210|4-210|5-210|6-210|7-210|
0-220|1-220|2-220|3-220|4-220|5-220|6-220|7-220|
0-230|1-230|2-230|3-230|4-230|5-230|6-230|7-230|
0-240|1-240|2-240|3-240|4-240|5-240|6-240|7-240|
0-250|1-250|2-250|3-250|4-250|5-250|6-250|7-250|
0-260|1-260|2-260|3-260|4-260|5-260|6-260|7-260|
0-270|1-270|2-270|3-270|4-270|5-270|6-270|7-270|
0-280|1-280|2-280|3-280|4-280|5-280|6-280|7-280|
0-290|1-290|2-290|3-290|4-290|5-290|6-290|7-290|
0-300|1-300|2-300|3-300|4-300|5-300|6-300|7-300|
