0-0|1-0|2-0|3-0|4-0|5-0|6-0|7-0|
0-0|1-0|2-5|3-25|4-25|5-5|6-0|7-0|
0-0|1-10|2-30|3-50|4-50|5-30|6-10|7-0|
0-15|1-35|2-55|3-75|4-75|5-55|6-35|7-15|
0-40|1-60|2-80|3-100|4-100|5-80|6-60|7-40|
0-65|1-85|2-105|3-125|4-125|5-105|6-85|7-65|
0-90|1-110|2-130|3-150|4-150|5-130|6-110|7-90|
0-115|1-135|2-155|3-175|4-175|5-155|6-135|7-115|
0-140|1-160|2-180|3-200|4-200|5-180|6-160|7-140|
0-165|1-185|2-205|3-225|4-225|5-205|6-185|7-165|
0-190|1-210|2-230|3-250|4-250|5-230|6-210|7-190|
0-215|1-235|2-255|3-275|4-275|5-255|6-235|7-215|
0-240|1-260|2-280|3-300|4-300|5-280|6-260|7-240|
0-265|1-285|2-300|3-300|4-300|5-300|6-285|7-265|
0-290|1-300|2-300|3-300|4-300|5-300|6-300|7-290|
