0-280|1-300|2-300|3-300|4-300|5-300|6-300|7-300|
0-260|1-300|2-300|3-300|4-300|5-300|6-300|7-300|
0-240|1-300|2-300|3-300|4-300|5-300|6-300|7-300|
0-220|1-280|2-300|3-300|4-300|5-300|6-300|7-300|
0-200|1-260|2-300|3-300|4-300|5-300|6-300|7-300|
0-200|1-240|2-300|3-300|4-300|5-300|6-300|7-300|
0-200|1-220|2-280|3-300|4-300|5-300|6-300|7-300|
0-200|1-200|2-260|3-300|4-300|5-300|6-300|7-300|
0-200|1-200|2-240|3-300|4-300|5-300|6-300|7-300|
0-200|1-200|2-220|3-280|4-300|5-300|6-300|7-300|
0-200|1-200|2-200|3-260|4-300|5-300|6-300|7-300|
0-200|1-200|2-200|3-240|4-300|5-300|6-300|7-300|
0-200|1-200|2-200|3-220|4-280|5-300|6-300|7-300|
0-200|1-200|2-200|3-200|4-260|5-300|6-300|7-300|
0-200|1-200|2-200|3-200|4-240|5-300|6-300|7-300|
0-200|1-200|2-200|3-200|4-220|5-280|6-300|7-300|
0-200|1-200|2-200|3-200|4-200|5-260|6-300|7-300|
0-200|1-200|2-200|3-200|4-200|5-240|6-300|7-300|
0-200|1-200|2-200|3-200|4-200|5-220|6-280|7-300|
0-200|1-200|2-200|3-200|4-200|5-200|6-260|7-300|
0-200|1-200|2-200|3-200|4-200|5-200|6-240|7-300|
0-200|1-200|2-200|3-200|4-200|5-200|6-220|7-280|
0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-260|
0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-240|
0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-220|
0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-200|
0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-200|
0-199|1-200|2-201|3-201|4-199|5-198|6-198|7-199|
0-198|1-200|2-202|3-202|4-201|5-198|6-197|7-198|
0-196|1-198|2-202|3-203|4-202|5-199|6-196|7-196|
0-194|1-196|2-200|3-204|4-205|5-201|6-197|7-194|
0-194|1-193|2-198|3-203|4-206|5-204|6-199|7-194|
0-195|1-192|2-194|3-201|4-207|5-207|6-202|7-195|
0-198|1-191|2-191|3-197|4-205|5-209|6-205|7-198|
0-202|1-193|2-189|3-193|4-202|5-209|6-209|7-202|
0-207|1-196|2-188|3-189|4-197|5-207|6-211|7-207|
0-211|1-201|2-190|3-186|4-192|5-203|6-212|7-211|
0-214|1-207|2-195|3-186|4-187|5-198|6-210|7-214|
0-215|1-213|2-201|3-188|4-184|5-191|6-205|7-215|
0-212|1-217|2-208|3-193|4-183|5-185|6-198|7-212|
0-207|1-218|2-214|3-200|4-185|5-181|6-191|7-207|
0-200|1-215|2-219|3-208|4-191|5-180|6-184|7-200|
0-191|1-209|2-219|3-215|4-199|5-183|6-180|7-191|
0-185|1-201|2-216|3-219|4-207|5-190|6-180|7-185|
0-180|1-192|2-210|3-219|4-214|5-198|6-183|7-180|
0-180|1-185|2-202|3-217|4-218|5-206|6-189|7-180|
0-182|1-181|2-194|3-211|4-219|5-213|6-197|7-182|
0-188|1-180|2-186|3-203|4-217|5-218|6-205|7-188|
0-195|1-182|2-181|3-195|4-212|5-219|6-212|7-195|
0-204|1-187|2-180|3-187|4-204|5-218|6-217|7-204|
0-211|1-194|2-181|3-182|4-196|5-213|6-219|7-211|
0-217|1-202|2-186|3-180|4-188|5-205|6-218|7-217|
0-219|1-210|2-193|3-181|4-182|5-197|6-214|7-219|
0-219|1-216|2-201|3-185|4-180|5-189|6-207|7-219|
0-214|1-219|2-209|3-192|4-180|5-183|6-198|7-214|
0-208|1-219|2-216|3-200|4-184|5-180|6-190|7-208|
0-200|1-215|2-219|3-208|4-191|5-180|6-184|7-200|
0-191|1-209|2-219|3-215|4-199|5-183|6-180|7-191|
0-185|1-201|2-216|3-219|4-207|5-190|6-180|7-185|
0-180|1-192|2-210|3-219|4-214|5-198|6-183|7-180|
0-180|1-185|2-202|3-217|4-218|5-206|6-189|7-180|
0-182|1-181|2-194|3-211|4-219|5-213|6-197|7-182|
0-188|1-180|2-186|3-203|4-217|5-218|6-205|7-188|
0-195|1-182|2-181|3-195|4-212|5-219|6-212|7-195|
0-204|1-187|2-180|3-187|4-204|5-218|6-217|7-204|
0-211|1-194|2-181|3-182|4-196|5-213|6-219|7-211|
0-217|1-202|2-186|3-180|4-188|5-205|6-218|7-217|
0-219|1-210|2-193|3-181|4-182|5-197|6-214|7-219|
0-219|1-216|2-201|3-185|4-180|5-189|6-207|7-219|
0-214|1-219|2-209|3-192|4-180|5-183|6-198|7-214|
0-208|1-219|2-216|3-200|4-184|5-180|6-190|7-208|
0-208|1-219|2-216|3-200|4-184|5-180|6-190|7-208|
0-208|1-219|2-216|3-200|4-184|5-180|6-190|7-208|
0-188|1-219|2-216|3-200|4-184|5-180|6-190|7-208|
0-168|1-219|2-216|3-200|4-184|5-180|6-190|7-208|
0-148|1-219|2-216|3-200|4-164|5-180|6-190|7-208|
0-128|1-219|2-216|3-200|4-144|5-180|6-190|7-208|
0-108|1-219|2-216|3-200|4-124|5-160|6-190|7-208|
0-88|1-219|2-216|3-200|4-104|5-140|6-190|7-208|
0-68|1-219|2-196|3-200|4-84|5-120|6-190|7-208|
0-48|1-219|2-176|3-200|4-64|5-100|6-190|7-208|
0-28|1-219|2-156|3-200|4-44|5-80|6-190|7-188|
0-8|1-219|2-136|3-200|4-24|5-60|6-190|7-168|
0-0|1-219|2-116|3-180|4-4|5-40|6-190|7-148|
0-0|1-219|2-96|3-160|4-0|5-20|6-190|7-128|
0-0|1-199|2-76|3-140|4-0|5-0|6-190|7-108|
0-0|1-179|2-56|3-120|4-0|5-0|6-190|7-88|
0-0|1-159|2-36|3-100|4-0|5-0|6-170|7-68|
0-0|1-139|2-16|3-80|4-0|5-0|6-150|7-48|
0-0|1-119|2-0|3-60|4-0|5-0|6-130|7-28|
