0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-200|
0-199|1-200|2-201|3-201|4-199|5-198|6-198|7-199|
0-198|1-200|2-202|3-202|4-201|5-198|6-197|7-198|
0-196|1-198|2-202|3-203|4-202|5-199|6-196|7-196|
0-194|1-196|2-200|3-204|4-205|5-201|6-197|7-194|
0-194|1-193|2-198|3-203|4-206|5-204|6-199|7-194|
0-195|1-192|2-194|3-201|4-207|5-207|6-202|7-195|
0-198|1-191|2-191|3-197|4-205|5-209|6-205|7-198|
0-202|1-193|2-189|3-193|4-202|5-209|6-209|7-202|
0-207|1-196|2-188|3-189|4-197|5-207|6-211|7-207|
0-211|1-201|2-190|3-186|4-192|5-203|6-212|7-211|
0-214|1-207|2-195|3-186|4-187|5-198|6-210|7-214|
0-215|1-213|2-201|3-188|4-184|5-191|6-205|7-215|
0-212|1-217|2-208|3-193|4-183|5-185|6-198|7-212|
0-207|1-218|2-214|3-200|4-185|5-181|6-191|7-207|
