0-188|1-219|2-216|3-200|4-184|5-180|6-190|7-208|
0-168|1-219|2-216|3-200|4-184|5-180|6-190|7-208|
0-148|1-219|2-216|3-200|4-164|5-180|6-190|7-208|
0-128|1-219|2-216|3-200|4-144|5-180|6-190|7-208|
0-108|1-219|2-216|3-200|4-124|5-160|6-190|7-208|
0-88|1-219|2-216|3-200|4-104|5-140|6-190|7-208|
0-68|1-219|2-196|3-200|4-84|5-120|6-190|7-208|
0-48|1-219|2-176|3-200|4-64|5-100|6-190|7-208|
0-28|1-219|2-156|3-200|4-44|5-80|6-190|7-188|
0-8|1-219|2-136|3-200|4-24|5-60|6-190|7-168|
0-0|1-219|2-116|3-180|4-4|5-40|6-190|7-148|
0-0|1-219|2-96|3-160|4-0|5-20|6-190|7-128|
0-0|1-199|2-76|3-140|4-0|5-0|6-190|7-108|
0-0|1-179|2-56|3-120|4-0|5-0|6-190|7-88|
0-0|1-159|2-36|3-100|4-0|5-0|6-170|7-68|
0-0|1-139|2-16|3-80|4-0|5-0|6-150|7-48|
0-0|1-119|2-0|3-60|4-0|5-0|6-130|7-28|
0-0|1-99|2-0|3-40|4-0|5-0|6-110|7-8|
0-0|1-79|2-0|3-20|4-0|5-0|6-90|7-0|
0-0|1-59|2-0|3-0|4-0|5-0|6-70|7-0|
0-0|1-39|2-0|3-0|4-0|5-0|6-50|7-0|
0-0|1-19|2-0|3-0|4-0|5-0|6-30|7-0|
0-0|1-0|2-0|3-0|4-0|5-0|6-10|7-0|
0-0|1-0|2-0|3-0|4-0|5-0|6-0|7-0|
