0-280|1-300|2-300|3-300|4-300|5-300|6-300|7-300|
0-260|1-300|2-300|3-300|4-300|5-300|6-300|7-300|
0-240|1-300|2-300|3-300|4-300|5-300|6-300|7-300|
0-220|1-280|2-300|3-300|4-300|5-300|6-300|7-300|
0-200|1-260|2-300|3-300|4-300|5-300|6-300|7-300|
0-200|1-240|2-300|3-300|4-300|5-300|6-300|7-300|
0-200|1-220|2-280|3-300|4-300|5-300|6-300|7-300|
0-200|1-200|2-260|3-300|4-300|5-300|6-300|7-300|
0-200|1-200|2-240|3-300|4-300|5-300|6-300|7-300|
0-200|1-200|2-220|3-280|4-300|5-300|6-300|7-300|
0-200|1-200|2-200|3-260|4-300|5-300|6-300|7-300|
0-200|1-200|2-200|3-240|4-300|5-300|6-300|7-300|
0-200|1-200|2-200|3-220|4-280|5-300|6-300|7-300|
0-200|1-200|2-200|3-200|4-260|5-300|6-300|7-300|
0-200|1-200|2-200|3-200|4-240|5-300|6-300|7-300|
0-200|1-200|2-200|3-200|4-220|5-280|6-300|7-300|
0-200|1-200|2-200|3-200|4-200|5-260|6-300|7-300|
0-200|1-200|2-200|3-200|4-200|5-240|6-300|7-300|
0-200|1-200|2-200|3-200|4-200|5-220|6-280|7-300|
0-200|1-200|2-200|3-200|4-200|5-200|6-260|7-300|
0-200|1-200|2-200|3-200|4-200|5-200|6-240|7-300|
0-200|1-200|2-200|3-200|4-200|5-200|6-220|7-280|
0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-260|
0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-240|
0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-220|
0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-200|
0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-200|
