0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-200|
0-180|1-185|2-190|3-195|4-200|5-205|6-210|7-215|
0-160|1-170|2-180|3-190|4-200|5-210|6-220|7-230|
0-140|1-155|2-170|3-185|4-200|5-215|6-230|7-245|
0-120|1-140|2-160|3-180|4-200|5-220|6-240|7-260|
0-100|1-125|2-150|3-175|4-200|5-225|6-250|7-275|
0-120|1-140|2-160|3-180|4-200|5-220|6-240|7-260|
0-140|1-155|2-170|3-185|4-200|5-215|6-230|7-245|
0-160|1-170|2-180|3-190|4-200|5-210|6-220|7-230|
0-180|1-185|2-190|3-195|4-200|5-205|6-210|7-215|
0-200|1-200|2-200|3-200|4-200|5-200|6-200|7-200|
0-220|1-215|2-210|3-205|4-200|5-195|6-190|7-185|
0-240|1-230|2-220|3-210|4-200|5-190|6-180|7-170|
0-260|1-245|2-230|3-215|4-200|5-185|6-170|7-155|
0-280|1-260|2-240|3-220|4-200|5-180|6-160|7-140|
0-300|1-275|2-250|3-225|4-200|5-175|6-150|7-125|
0-280|1-260|2-240|3-220|4-200|5-180|6-160|7-140|
0-260|1-245|2-230|3-215|4-200|5-185|6-170|7-155|
0-240|1-230|2-220|3-210|4-200|5-190|6-180|7-170|
0-220|1-215|2-210|3-205|4-200|5-195|6-190|7-185|
