0-200|1-215|2-219|3-208|4-191|5-180|6-184|7-200|
0-191|1-209|2-219|3-215|4-199|5-183|6-180|7-191|
0-185|1-201|2-216|3-219|4-207|5-190|6-180|7-185|
0-180|1-192|2-210|3-219|4-214|5-198|6-183|7-180|
0-180|1-185|2-202|3-217|4-218|5-206|6-189|7-180|
0-182|1-181|2-194|3-211|4-219|5-213|6-197|7-182|
0-188|1-180|2-186|3-203|4-217|5-218|6-205|7-188|
0-195|1-182|2-181|3-195|4-212|5-219|6-212|7-195|
0-204|1-187|2-180|3-187|4-204|5-218|6-217|7-204|
0-211|1-194|2-181|3-182|4-196|5-213|6-219|7-211|
0-217|1-202|2-186|3-180|4-188|5-205|6-218|7-217|
0-219|1-210|2-193|3-181|4-182|5-197|6-214|7-219|
0-219|1-216|2-201|3-185|4-180|5-189|6-207|7-219|
0-214|1-219|2-209|3-192|4-180|5-183|6-198|7-214|
0-208|1-219|2-216|3-200|4-184|5-180|6-190|7-208|
